Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG%,3P%,FT%,MP,PTS,TRB,AST,RK,PLAYER,POS,HOMETOWN,HT,WT,STARS,GRADE,SCHOOL
29,SAS,Cory Joseph,Texas,12,763,16706,5323,1929,2296,0.442,0.342,0.786,21.9,7,2.5,3,16,Cory Joseph,PG,"Pickering, Ont., CANFindlay College Prep",6'3'',180,four,96,Texas
33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,0.418,0.362,0.786,21.9,6.5,2.9,0.8,4,Kyle Singler,SF,"Medford, ORCamden Catholic High School",6'8'',215,,98,Duke
35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,0.314,0.2,0.714,5,1.2,1,0.4,51,Tyler Honeycutt,SF,"Sylmar, CASylmar High School",6'8'',180,,93,UCLA
38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,0.462,0.373,0.713,30.1,12.7,4.5,2.7,44,Chandler Parsons,PF,"Winter Park, FLLake Howell High School",6'8'',190,,96,Florida
40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,0.484,0.328,0.767,15.8,6.4,3.8,0.8,91,Jon Leuer,PF,"Long Lake, MNOrono High School",6'10'',210,,93,Wisconsin
43,CHI,Malcolm Lee,UCLA,3,36,534,140,65,51,0.382,0.294,0.703,14.8,3.9,1.8,1.4,31,Malcolm Lee,PG,"Riverside, CAJohn W. North High School",6'4'',170,,96,UCLA
49,MEM,Josh Selby,Kansas,2,38,296,83,20,34,0.33,0.143,0.72,7.8,2.2,0.5,0.9,5,Josh Selby,PG,"Baltimore, MDLake Clifton High School",6'3'',183,five,97,Kansas
51,POR,Jon Diebler,Ohio State,,,,,,,,,,,,,,40,Jon Diebler,SG,"Upper Sandusky, OHUpper Sandusky High School",6'6'',200,,96,Ohio State
53,ORL,DeAndre Liggins,Kentucky,5,177,1907,346,252,122,0.402,0.352,0.549,10.8,2,1.4,0.7,57,DeAndre Liggins,SF,"Chicago, ILFindlay College Prep",6'6'',200,,95,Kentucky
55,BOS,E'Twaun Moore,Purdue,10,598,12564,4743,1208,1055,0.455,0.388,0.742,21,7.9,2,1.8,20,E'Twaun Moore,PG,"East Chicago, INEast Chicago Central High School",6'3'',185,,97,Purdue
1,NOH,Anthony Davis,Kentucky,11,629,21641,15075,6465,1480,0.518,0.303,0.795,34.4,24,10.3,2.4,1,Anthony Davis,PF,"Chicago, ILPerspectives Charter School",6'10'',200,five,98,Kentucky
2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,24.6,8.4,5.4,1.2,4,Michael Gilchrist,SF,"Somerdale, NJSaint Patrick's High School",6'7'',210,five,98,Kentucky
3,WAS,Bradley Beal,Florida,11,669,23224,14780,2724,2825,0.458,0.371,0.823,34.7,22.1,4.1,4.2,5,Bradley Beal,SG,"Saint Louis, MOChaminade College Prep School",6'4'',205,five,98,Florida
4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,28.2,13.1,2.6,2.8,15,Dion Waiters,SG,"Philadelphia, PALife Center Academy",6'4'',210,four,96,Syracuse
7,GSW,Harrison Barnes,UNC,11,786,25004,11132,4017,1443,0.454,0.377,0.805,31.8,14.2,5.1,1.8,1,Harrison Barnes,SF,"Ames, IAAmes High School",6'8'',209,five,98,N Carolina
8,TOR,Terrence Ross,Washington,11,708,17478,7828,1987,890,0.418,0.362,0.837,24.7,11.1,2.8,1.3,30,Terrence Ross,SF,"Portland, ORJefferson High School",6'6'',180,four,95,Washington
9,DET,Andre Drummond,UConn,11,751,21721,10148,9748,1025,0.541,0.129,0.474,28.9,13.5,13,1.4,2,Andre Drummond,C,"Middletown, CTSt. Thomas More School",6'10'',275,five,98,UConn
10,NOH,Austin Rivers,Duke,11,686,16472,5906,1410,1483,0.419,0.35,0.654,24,8.6,2.1,2.2,3,Austin Rivers,SG,"Winter Park, FLWinter Park High School",6'4'',189,five,98,Duke
11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,0.482,0.39,0.809,16,5.6,3.9,0.9,47,Meyers Leonard,C,"Robinson, ILRobinson High School",7'0'',215,four,95,Illinois
13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5,1.6,4.9,22,Kendall Marshall,PG,"Dumfries, VABishop O'Connell High School",6'4'',180,four,95,N Carolina
14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568,19.7,7.6,5.3,1.1,6,John Henson,PF,"Tampa, FLSickles High School",6'10'',195,,98,N Carolina
15,PHI,Maurice Harkless,St. John's,10,621,14019,4259,2198,572,0.474,0.32,0.624,22.6,6.9,3.5,0.9,39,Maurice Harkless,SF,"Queens, NYSouth Kent School",6'6'',200,four,96,St. John's
16,HOU,Royce White,Iowa State,1,3,9,0,0,0,0,,,3,0,0,0,35,Royce White,PF,"Minnetonka, MNHopkins High School",6'7'',220,,94,Minnesota
17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,0.508,0.286,0.764,17.5,6.9,4.4,0.9,7,Tyler Zeller,PF,"Washington, INWashington High School",6'11'',215,,96,N Carolina
18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,0.501,0.297,0.621,23.8,10.4,5.7,1,9,Terrence Jones,SF,"Portland, ORJefferson High School",6'9'',230,five,97,Kentucky
21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,0.436,0.272,0.723,24.3,10.8,7.5,1.8,2,Jared Sullinger,PF,"Columbus, OHNorthland High School",6'8'',262,five,98,Ohio State
23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,0.441,0.367,0.847,12.8,5,1.5,0.8,21,John Jenkins,SG,"Gallatin, TNStation Camp High School",6'4'',175,,96,Vanderbilt
25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,21.2,11.1,2.5,3,17,Tony Wroten Jr.,PG,"Renton, WAGarfield High School",6'4'',206,five,97,Washington
26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,0.542,,0.543,16.4,4.9,4.5,0.5,47,Miles Plumlee,PF,"Warsaw, INChrist School",6'10'',210,,96,Duke
28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,0.42,0.293,0.66,11.7,3.4,1.8,0.4,7,Perry Jones,PF,"Duncanville, TXDuncanville High School",6'11'',220,five,97,Baylor
29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,0.343,0.222,0.661,10,2.4,1,1.5,8,Marquis Teague,PG,"Indianapolis, INPike High School",6'2'',175,five,98,Kentucky
31,CHA,Jeff Taylor,Vanderbilt,3,132,2566,807,263,107,0.409,0.319,0.665,19.4,6.1,2,0.8,69,Jeff Taylor,SF,"Hobbs, NMHobbs High School",6'7'',190,,93,Vanderbilt
35,GSW,Draymond Green,Michigan State,11,722,20672,6244,5007,3981,0.443,0.315,0.711,28.6,8.6,6.9,5.5,36,Draymond Green,PF,"Saginaw, MISaginaw High School",6'6'',225,,96,Michigan St
38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,7,Quincy Miller,PF,"North Chicago, ILWestchester Country Day School",6'9'',210,five,98,Baylor
39,DET,Khris Middleton,Texas A&M,11,658,20863,11214,3184,2492,0.457,0.39,0.881,31.7,17,4.8,3.8,82,Khris Middleton,SF,"North Charleston, SCPorter-Gaud School",6'7'',195,,91,Texas A&M
40,POR,Will Barton,Memphis,11,658,16840,7516,2753,1794,0.431,0.355,0.787,25.6,11.4,4.2,2.7,8,Will Barton,SG,"Baltimore, MDBrewster Academy",6'6'',170,five,97,Memphis
41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,0.354,0.36,0.684,8,2.9,0.5,0.9,86,Tyshawn Taylor,PG,"Jersey City, NJSt. Anthony High School",6'2'',185,,92,Kansas
42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,12.7,3.5,1,0.8,29,Doron Lamb,SG,"Laurelton, NYOak Hill Academy",6'4'',183,four,95,Kentucky
46,NOH,Darius Miller,Kentucky,6,271,5358,1597,447,367,0.419,0.383,0.84,19.8,5.9,1.6,1.4,33,Darius Miller,SF,"Maysville, KYMason County High School",6'7'',225,,96,Kentucky
51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,0.143,0,0.625,5.4,0.9,0.7,0.1,50,Kris Joseph,SF,"Washington, DCArchbishop Carroll High School",6'7'',210,,96,Syracuse
58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,72,Robbie Hummel,SF,"Valparaiso, INValparaiso High School",6'8'',200,,93,Purdue
1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,7,Anthony Bennett,PF,"Brampton, ONT, CANFindlay College Prep",6'8'',230,five,97,UNLV
4,CHA,Cody Zeller,Indiana,9,494,10973,4202,2949,691,0.52,0.221,0.731,22.2,8.5,6,1.4,14,Cody Zeller,PF,"Washington, INWashington High School",6'11'',210,five,97,Indiana
6,NOH,Nerlens Noel,Kentucky,9,460,10188,3326,2817,495,0.548,0.2,0.655,22.1,7.2,6.1,1.1,1,Nerlens Noel,C,"Everett, MAThe Tilton School",6'10'',215,five,98,Kentucky
7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,0.414,0.363,0.78,22.5,9,2.3,1,49,Ben McLemore,SF,"Saint Louis, MOChristian Life Center Academy",6'5'',185,four,95,Kansas
8,DET,Kentavious Caldwell-Pope,Georgia,10,722,21200,8360,2267,1240,0.423,0.365,0.814,29.4,11.6,3.1,1.7,24,Kentavious Caldwell-Pope,SG,"Greenville, GAGreenville High School",6'4'',190,four,96,Georgia
9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,0.41,0.345,0.81,20.9,9.6,1.8,3.1,84,Trey Burke,PG,"Columbus, OHNorthland High School",6'1'',170,four,93,Michigan
11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,0.402,0.255,0.706,25.3,10.3,4.4,4.4,21,Michael Carter-Williams,SG,"Hamilton, MASt. Andrew's School",6'5'',175,five,97,Syracuse
12,OKC,Steven Adams,Pitt,10,700,18779,6450,5709,1062,0.586,0.067,0.536,26.8,9.2,8.2,1.5,6,Steven Adams,C,"New Zealand, SPNotre Dame Prep",6'10'',235,five,97,Pittsburgh
14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,2,Shabazz Muhammad,SF,"Las Vegas, NVBishop Gorman High School",6'6'',215,five,98,UCLA
22,BRK,Mason Plumlee,Duke,10,703,15942,5954,4777,1765,0.589,0.049,0.56,22.7,8.5,6.8,2.5,10,Mason Plumlee,C,"Warsaw, INChrist School",6'11'',220,,98,Duke
23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,0.388,0.331,0.797,21.5,5.5,3.1,1.5,54,Solomon Hill,SF,"Los Angeles, CAFairfax High School",6'6'',210,,92,Arizona
25,LAC,Reggie Bullock,UNC,10,474,10926,3592,1228,570,0.422,0.379,0.829,23.1,7.6,2.6,1.2,18,Reggie Bullock,SG,"Kinston, NCKinston High School",6'6'',190,four,96,N Carolina
29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,0.429,0.236,0.7,14.5,6.3,2,1.2,15,Archie Goodwin,SG,"Little Rock, ARSylvan Hills High School",6'5'',181,five,97,Kentucky
31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,0.425,0.387,0.831,24,9.1,2.8,1.1,57,Allen Crabbe,SG,"Los Angeles, CAPrice High School",6'6'',190,four,94,California
36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,0.408,0.335,0.711,18.2,6,2,2.4,17,Ray McCallum,PG,"Beverly Hills, MIDetroit Country Day School",6'1'',179,four,96,Detroit Mercy
37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,54,Tony Mitchell,SF,"Swainsboro, GASwainsboro High School",6'6'',185,,95,Alabama
37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,24,Tony Mitchell,PF,"Dallas, TXL. G. Pinkston High School",6'8'',215,four,95,North Texas
39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,0.525,0.143,0.716,10.1,3.2,2.5,0.3,43,Jeff Withey,C,"San Diego, CAHorizon High School",6'11'',215,,96,Arizona
40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,9,Grant Jerrett,PF,"La Verne, CALa Verne Lutheran High School",6'10'',220,five,97,Arizona
48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,0.378,0.316,0.797,19.2,6,3.1,1.3,17,Ryan Kelly,PF,"Raleigh, NCRavenscroft School",6'10'',210,,97,Duke
49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,0.231,0,,2.6,0.3,0.3,0.1,38,Erik Murphy,PF,"South Kingstown, RISaint Mark's School",6'10'',225,,94,Florida
51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,51,Romero Osby,PF,"Meridian, MSNortheast Lauderdale High School",6'7'',200,,96,Miss. St
52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,0.364,0.17,0.707,11.5,2.8,1.5,1.8,29,Lorenzo Brown,SG,"Roswell, GACentennial High School",6'4'',180,,95,List
56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,0.316,0.28,0.733,9.3,2.3,0.6,1.4,25,Peyton Siva,PG,"Seattle, WAFranklin High School",5'11'',180,,96,Louisville
57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,20,Alex Oriakhi,C,"Lowell, MAThe Tilton School",6'8'',230,,96,UConn
58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,12,Deshaun Thomas,SF,"Fort Wayne, INBishop Luers High School",6'7'',221,four,96,Ohio State
1,CLE,Andrew Wiggins,Kansas,9,622,21705,11961,2770,1445,0.45,0.355,0.722,34.9,19.2,4.5,2.3,1,Andrew Wiggins,SF,"Thornhill, Ont., CANHuntington Prep",6'7'',205,five,97,Kansas
2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,2,Jabari Parker,SF,"Chicago, ILSimeon Career Academy",6'8'',220,five,96,Duke
3,PHI,Joel Embiid,Kansas,7,357,11257,9509,4018,1209,0.494,0.338,0.815,31.5,26.6,11.3,3.4,6,Joel Embiid,C,"Gainesville, FLThe Rock School",6'11'',230,five,95,Kansas
4,ORL,Aaron Gordon,Arizona,9,563,16323,7469,3557,1394,0.468,0.325,0.697,29,13.3,6.3,2.5,4,Aaron Gordon,PF,"San Jose, CAArchbishop Mitty High School",6'8'',210,five,96,Arizona
6,BOS,Marcus Smart,Oklahoma State,9,556,16659,5836,1988,2576,0.385,0.323,0.779,30,10.5,3.6,4.6,10,Marcus Smart,SG,"Flower Mound, TXMarcus High School",6'3'',200,five,97,Oklahoma St
7,LAL,Julius Randle,Kentucky,9,559,17594,10191,5230,1999,0.471,0.334,0.744,31.5,18.2,9.4,3.6,3,Julius Randle,PF,"McKinney, TXPrestonwood Christian Academy",6'9'',225,five,96,Kentucky
8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2,1.5,76,Nik Stauskas,SF,"Mississauga, Ont., CANSaint Mark's School",6'6'',205,four,92,Michigan
9,CHH,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,0.459,0.307,0.692,16.2,4.7,4.9,0.7,13,Noah Vonleh,PF,"Haverhill, MANew Hampton School",6'8'',220,five,93,Indiana
13,MIN,Zach LaVine,UCLA,9,515,16528,10333,2039,2019,0.461,0.387,0.831,32.1,20.1,4,3.9,50,Zach LaVine,PG,"Bothell, WABothell High School",6'3'',165,four,88,UCLA
14,PHO,T.J. Warren,NC State,8,348,9871,5300,1423,419,0.508,0.356,0.782,28.4,15.2,4.1,1.2,29,T.J. Warren,SF,"Durham, NCBrewster Academy",6'7'',205,four,96,NC State
15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,26,Adreian Payne,PF,"Dayton, OHJefferson Township High School",6'9'',215,four,95,Michigan St
17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,8,James Young,SF,"Rochester, MIRochester High School",6'6'',210,five,94,Kentucky
