Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG%,3P%,FT%,MP,PTS,TRB,AST,RK,PLAYER,POS,HOMETOWN,HT,WT,STARS,GRADE,SCHOOL
24,MIL,MarJon Beauchamp,,1,29,448,184,77,18,0.416,0.344,0.72,15.4,6.3,2.7,0.6,47,MarJon Beauchamp,SF,"Seattle, WADream City Christian",6'6'',180,four,87,List
26,DAL,Wendell Moore Jr.,Duke,1,17,98,32,13,9,0.448,0.167,0.8,5.8,1.9,0.8,0.5,,,,,,,,,
28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,1,13,115,70,21,3,0.429,0.432,0.75,8.8,5.4,1.6,0.2,5,Patrick Baldwin Jr.,PF,"Sussex, WIHamilton High School",6'9'',220,five,97,Milwaukee
29,MEM,TyTy Washington Jr.,Kentucky,1,12,128,38,16,15,0.348,0.143,0.5,10.7,3.2,1.3,1.3,14,TyTy Washington,PG,"Phoenix, AZAZ Compass Prep",6'3'',175,five,94,Kentucky
30,OKC,Peyton Watson,UCLA,1,6,15,6,3,0,0.333,0,,2.5,1,0.5,0,12,Peyton Watson,SF,"Long Beach, CALong Beach Polytechnic High School",6'7'',185,five,94,UCLA
31,IND,Andrew Nembhard,Gonzaga,1,36,975,304,110,132,0.476,0.4,0.889,27.1,8.4,3.1,3.7,28,Andrew Nembhard,PG,"Aurora, Ontario, CANMontverde Academy",6'4'',190,four,89,Florida
32,ORL,Caleb Houstan,Michigan,1,30,496,119,69,18,0.381,0.364,0.846,16.5,4,2.3,0.6,8,Caleb Houstan,SF,"Montverde, FLMontverde Academy",6'8'',200,five,96,Michigan
34,OKC,Jaylin Williams,Arkansas,1,11,131,33,39,12,0.343,0.25,0.6,11.9,3,3.5,1.1,94,Jaylin Williams,C,"Fort Smith, ARNorthside High School",6'9'',,four,82,Arkansas
35,LAL,Max Christie,Michigan State,1,23,311,81,50,14,0.414,0.439,0.833,13.5,3.5,2.2,0.6,18,Max Christie,SG,"Rolling Meadows, ILRolling Meadows High School",6'7'',185,five,92,Michigan St
37,SAC,Jaden Hardy,,1,15,157,82,18,8,0.4,0.25,0.882,10.5,5.5,1.2,0.5,2,Jaden Hardy,SG,"Henderson, NVCoronado High School",6'4'',185,five,97,List
38,SAS,Kennedy Chandler,Tennessee,1,20,203,57,29,45,0.403,0.154,0.455,10.2,2.9,1.5,2.3,10,Kennedy Chandler,PG,"Memphis, TNSunrise Christian Academy",6'1'',170,five,95,Tennessee
40,MIN,Bryce McGowens,Nebraska,1,15,193,56,18,14,0.396,0.375,0.857,12.9,3.7,1.2,0.9,26,Bryce McGowens,SG,"Greenville, SCLegacy Early College High School",6'6'',175,four,89,Nebraska
41,NOP,E.J. Liddell,Ohio State,,,,,,,,,,,,,,38,E.J. Liddell,PF,"Belleville, ILBelleville West High School",6'7'',215,four,89,Ohio State
42,NYK,Trevor Keels,Duke,1,1,1,0,1,0,0,0,,1,0,1,0,23,Trevor Keels,SG,"Fairfax, VAPaul VI High School",6'5'',210,five,90,Duke
43,LAC,Moussa Diabaté,Michigan,1,8,90,33,32,2,0.542,,0.778,11.3,4.1,4,0.3,13,Moussa Diabate,PF,"Bradenton, FLIMG Academy",6'9'',215,five,94,Michigan
45,CHO,Josh Minott,Memphis,1,7,16,10,5,2,0.6,0,1,2.3,1.4,0.7,0.3,70,Josh Minott,SF,"Boca Raton, FLSaint Andrews School",6'8'',200,four,84,Memphis
48,MIN,Kendall Brown,Baylor,1,6,40,9,6,3,0.571,0,0.5,6.7,1.5,1,0.5,17,Kendall Brown,SF,"Cottage Grove, MNSunrise Christian Academy",6'8'',205,five,92,Baylor
49,CLE,Isaiah Mobley,USC,1,8,26,9,11,0,0.5,0.5,,3.3,1.1,1.4,0,16,Isaiah Mobley,PF,"Temecula, CARancho Christian School",6'9'',210,five,95,USC
53,BOS,JD Davison,Alabama,1,3,8,2,1,1,0.25,0,,2.7,0.7,0.3,0.3,,,,,,,,,
